"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Create file","LMS service","Thu Feb 26 11:02:35 UTC 2026","passed","Thu Feb 26 11:02:35 UTC 2026","Create entity","Files","",""
"","30","test_create_course","tests.courses","Thu Feb 26 11:02:31 UTC 2026","passed","Thu Feb 26 11:02:31 UTC 2026","TestCourses","test_courses","",""
"","264","Create file with empty filename","LMS service","Thu Feb 26 11:02:37 UTC 2026","passed","Thu Feb 26 11:02:37 UTC 2026","Validate entity","Files","",""
"","560","Attempt to create user with email: gmail.com","tests.users","Thu Feb 26 11:02:39 UTC 2026","passed","Thu Feb 26 11:02:39 UTC 2026","TestUsers","test_users","",""
"","20","test_get_exercises","tests.exercises","Thu Feb 26 11:02:35 UTC 2026","passed","Thu Feb 26 11:02:35 UTC 2026","TestExercises","test_exercises","",""
"","48","test_get_exercise","tests.exercises","Thu Feb 26 11:02:34 UTC 2026","passed","Thu Feb 26 11:02:34 UTC 2026","TestExercises","test_exercises","",""
"","554","Login with correct email and password","tests.authentication","Thu Feb 26 11:02:30 UTC 2026","passed","Thu Feb 26 11:02:30 UTC 2026","TestAuthentication","test_authentication","",""
"","38","test_update_course","tests.courses","Thu Feb 26 11:02:30 UTC 2026","passed","Thu Feb 26 11:02:30 UTC 2026","TestCourses","test_courses","",""
"","263","Get file with incorrect file id","LMS service","Thu Feb 26 11:02:38 UTC 2026","passed","Thu Feb 26 11:02:38 UTC 2026","Validate entity","Files","",""
"","12","Get user me","tests.users","Thu Feb 26 11:02:39 UTC 2026","passed","Thu Feb 26 11:02:39 UTC 2026","TestUsers","test_users","",""
"","25","test_create_exercise","tests.exercises","Thu Feb 26 11:02:33 UTC 2026","passed","Thu Feb 26 11:02:33 UTC 2026","TestExercises","test_exercises","",""
"","12","Get file","LMS service","Thu Feb 26 11:02:36 UTC 2026","passed","Thu Feb 26 11:02:36 UTC 2026","Get entity","Files","",""
"","19","Delete file","LMS service","Thu Feb 26 11:02:36 UTC 2026","passed","Thu Feb 26 11:02:36 UTC 2026","Delete entity","Files","",""
"","16","Create file with empty directory","LMS service","Thu Feb 26 11:02:37 UTC 2026","passed","Thu Feb 26 11:02:37 UTC 2026","Validate entity","Files","",""
"","530","Attempt to create user with email: mail.ru","tests.users","Thu Feb 26 11:02:37 UTC 2026","passed","Thu Feb 26 11:02:38 UTC 2026","TestUsers","test_users","",""
"","19","test_update_exercise","tests.exercises","Thu Feb 26 11:02:33 UTC 2026","passed","Thu Feb 26 11:02:33 UTC 2026","TestExercises","test_exercises","",""
"","23","test_delete_exercise","tests.exercises","Thu Feb 26 11:02:34 UTC 2026","passed","Thu Feb 26 11:02:34 UTC 2026","TestExercises","test_exercises","",""
"","32","test_get_courses","tests.courses","Thu Feb 26 11:02:31 UTC 2026","passed","Thu Feb 26 11:02:31 UTC 2026","TestCourses","test_courses","",""
"","524","Attempt to create user with email: example.com","tests.users","Thu Feb 26 11:02:38 UTC 2026","passed","Thu Feb 26 11:02:38 UTC 2026","TestUsers","test_users","",""
